First,Last,01/01/2000,8/13/2020,CareUser,M,
('5', 'micha6_001', '2703', 'LSSIa4', '1', '0.795', '6', 'd','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa10', '1', '0.437', '7', 'o','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa16', '1', '0.895', '3', 'z','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa12', '1', '0.914', '1', 'e','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa7', '1', '0.796', '1', 't','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa17', '1', '1.522', '6', 'g','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa8', '1', '1.787', '7', 's','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa21', '1', '1.029', '4', 'l','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa20', '1', '0.779', '1', 'j','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa6', '1', '0.894', '7', 'k','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa19', '1', '1.031', '5', 'c','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa3', '1', '0.78', '4', 'w','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa9', '1', '0.662', '2', 'i','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa22', '1', '0.812', '3', 'r','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa14', '1', '0.713', '3', 'u','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa2', '1', '0.478', '3', 'v','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa11', '1', '0.879', '4', 'h','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa18', '1', '0.879', '7', 'y','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa13', '1', '0.779', '1', 'm','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa5', '1', '1.028', '4', 'f','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa15', '1', '1.915', '6', 'p','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIa1', '1', '1.013', '2', 'n','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIb2', '1', '0.772', '1', 'sh','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIb3', '1', '1.109', '1', 'ch','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIb13', '1', '1.409', '1', 'oo','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIb10', '1', '0.747', '2', 'ay','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIb1', '1', '1.26', '4', 'th','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIb12', '0', '0.663', '4', 'eo','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIb19', '0', '0.647', '4', 'iy','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIb8', '0', '1.093', '4', 'au','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIb15', '0', '0.73', '4', 'ahe','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIb5', '1', '0.76', '4', 'ph','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIb6', '0', '0.68', '4', 'or','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIb27', '0', '0.597', '4', 'aegh','2020-08-13')
('5', 'micha6_001', '2703', 'LSSIb20', '0', '0.678', '4', 'ai','2020-08-13')
