First,Last,01/01/2000,8/12/2022,CareUser,M,
('14', 'micha6_001', '5077', 'RF1_1', '0', '0.227','0', 'TRUE', '2022-08-12')
('14', 'micha6_001', '5077', 'RF1_2', '1', '0.731','0', 'TRUE', '2022-08-12')
('14', 'micha6_001', '5077', 'RF1_3', '1', '32.76','1', 'FALSE', '2022-08-12')
('14', 'micha6_001', '5077', 'RF1_4', '0', '0.711','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF1_5', '0', '116.32','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF2_1', '0', '0.588','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF2_2', '0', '0.238','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF2_3', '0', '0.251','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF2_4', '0', '0.304','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF2_5', '0', '0.265','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF3_1', '0', '0.325','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF3_2', '0', '0.283','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF3_3', '0', '0.259','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF3_4', '0', '0.237','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF3_5', '0', '0.237','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF4_1', '0', '0.319','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF4_2', '0', '0.351','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF4_3', '0', '0.28','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF4_4', '0', '0.232','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF4_5', '0', '0.256','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF5_1', '0', '0.3','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF5_2', '0', '0.267','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF5_3', '0', '0.265','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF5_4', '0', '0.292','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF5_5', '0', '0.238','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF6_1', '0', '0.316','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF6_2', '0', '0.291','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF6_3', '0', '0.259','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF6_4', '0', '0.275','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF6_5', '0', '0.253','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF7_1', '0', '0.323','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF7_2', '0', '0.277','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF7_3', '0', '0.29','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF7_4', '0', '0.274','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF7_5', '0', '0.255','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF8_1', '0', '0.355','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF8_2', '0', '0.342','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF8_3', '0', '0.234','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF8_4', '0', '0.286','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF8_5', '0', '0.238','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF9_1', '0', '0.323','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF9_2', '0', '0.286','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF9_3', '0', '0.268','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF9_4', '0', '0.276','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF9_5', '0', '0.265','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF10_1', '0', '0.761','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF10_2', '0', '0.311','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF10_3', '0', '0.374','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF10_4', '0', '0.355','2', 'IDK', '2022-08-12')
('14', 'micha6_001', '5077', 'RF10_5', '0', '0.26','2', 'IDK', '2022-08-12')
