First,Last,01/01/2000,8/13/2020,CareUser,M,
('7', 'micha6_001', '2704', 'SI1', '1', '4.326', '2', 'SI_pic_1-01', '2020-08-13')
('7', 'micha6_001', '2704', 'SI5', '1', '2.638', '2', 'SI_pic_5-01', '2020-08-13')
('7', 'micha6_001', '2704', 'SI2', '1', '2.537', '1', 'SI_pic_2-01', '2020-08-13')
('7', 'micha6_001', '2704', 'SI6', '1', '1.879', '1', 'SI_pic_6-01', '2020-08-13')
('7', 'micha6_001', '2704', 'SI7.2', '1', '1.133', '3', 'SI_pic_7-1', '2020-08-13')
('7', 'micha6_001', '2704', 'SI4.2', '1', '0.947', '3', 'SI_pic_4-01', '2020-08-13')
('7', 'micha6_001', '2704', 'SI12', '1', '1.244', '2', 'SI_pic_12-01', '2020-08-13')
('7', 'micha6_001', '2704', 'SI8', '1', '1.274', '1', 'SI_pic_8-01', '2020-08-13')
('7', 'micha6_001', '2704', 'SI9.2', '0', '0.664', '4', 'SI_pic_9-03', '2020-08-13')
('7', 'micha6_001', '2704', 'SI11', '0', '0.573', '4', 'SI_pic_11-04', '2020-08-13')
('7', 'micha6_001', '2704', 'SI15', '1', '0.56', '4', 'SI_pic_15-01', '2020-08-13')
('7', 'micha6_001', '2704', 'SI3', '0', '0.547', '4', 'SI_pic_3-04', '2020-08-13')
('7', 'micha6_001', '2704', 'SI16', '0', '0.512', '4', 'SI_pic_16-04', '2020-08-13')
('7', 'micha6_001', '2704', 'SI10', '0', '0.602', '4', 'SI_pic_10-04', '2020-08-13')
('7', 'micha6_001', '2704', 'SI17', '0', '0.782', '4', 'SI_pic_17-04', '2020-08-13')
