First,Last,01/01/2000,1/21/2022,CareUser,M,
('24', 'micha6_001', '4810', 'WIS1', '1', '2.058', '3', 'LWR_pic_2-02', '2022-01-21')
('24', 'micha6_001', '4810', 'WIS2', '1', '6.073', '2', 'LWR_pic_5-01', '2022-01-21')
('24', 'micha6_001', '4810', 'WIS3', '0', '0.765', '4', 'LWR_pic_3-04', '2022-01-21')
('24', 'micha6_001', '4810', 'WIS4', '0', '0.753', '4', 'LWR_pic_23-04', '2022-01-21')
('24', 'micha6_001', '4810', 'WIS5', '0', '1.056', '4', 'LWR_pic_12-04', '2022-01-21')
('24', 'micha6_001', '4810', 'WIS6', '1', '0.912', '4', 'LWR_pic_4-01', '2022-01-21')
('24', 'micha6_001', '4810', 'WIS7', '0', '0.765', '4', 'LWR_pic_44-04', '2022-01-21')
('24', 'micha6_001', '4810', 'WIS8', '0', '1.25', '4', 'LWR_pic_49-04', '2022-01-21')
('24', 'micha6_001', '4810', 'WIS9', '0', '0.765', '4', 'LWR_pic_18-04', '2022-01-21')
('24', 'micha6_001', '4810', 'WIS10', '0', '0.703', '4', 'LWR_pic_62-04', '2022-01-21')
('24', 'micha6_001', '4810', 'WIS11', '0', '0.7', '4', 'LWR_pic_15-04', '2022-01-21')
