First,Last,01/01/2000,8/12/2020,CareUser,M,
('7', 'micha6_001', '2694', 'LWR2', '1', '3.017', '2', 'LWR_pic_3-01', '2020/8/12 17:44:20')
('7', 'micha6_001', '2694', 'LWR4', '1', '2.399', '2', 'LWR_pic_5-01', '2020/8/12 17:44:20')
('7', 'micha6_001', '2694', 'LWR1', '1', '1.076', '3', 'LWR_pic_2-02', '2020/8/12 17:44:20')
('7', 'micha6_001', '2694', 'LWR3.2', '1', '0.826', '4', 'LWR_pic_4-01', '2020/8/12 17:44:20')
('7', 'micha6_001', '2694', 'LWR11', '0', '0.597', '4', 'LWR_pic_12-04', '2020/8/12 17:44:20')
('7', 'micha6_001', '2694', 'LWR12.2', '1', '0.597', '4', 'LWR_pic_13-01', '2020/8/12 17:44:20')
('7', 'micha6_001', '2694', 'LWR8.2', '1', '0.48', '4', 'LWR_pic_9-01', '2020/8/12 17:44:20')
('7', 'micha6_001', '2694', 'LWR22', '0', '0.513', '4', 'LWR_pic_23-04', '2020/8/12 17:44:20')
('7', 'micha6_001', '2694', 'LWR10', '0', '0.496', '4', 'LWR_pic_11-04', '2020/8/12 17:44:20')
('7', 'micha6_001', '2694', 'LWR17', '0', '0.496', '4', 'LWR_pic_18-04', '2020/8/12 17:44:20')
('7', 'micha6_001', '2694', 'LWR19', '1', '0.529', '4', 'LWR_pic_20-01', '2020/8/12 17:44:20')
('7', 'micha6_001', '2694', 'LWR20', '1', '0.481', '4', 'LWR_pic_21-01', '2020/8/12 17:44:20')
('7', 'micha6_001', '2694', 'LWR7', '1', '0.449', '4', 'LWR_pic_8-01', '2020/8/12 17:44:20')
('7', 'micha6_001', '2694', 'LWR28', '0', '0.398', '4', 'LWR_pic_29-04', '2020/8/12 17:44:20')
