First,Last,01/01/2000,8/12/2020,CareUser,M,
('7', 'micha6_001', '2696', 'LWR2', '1', '1.889', '2', 'LWR_pic_3-01', '2020-08-12')
('7', 'micha6_001', '2696', 'LWR4', '1', '2.295', '2', 'LWR_pic_5-01', '2020-08-12')
('7', 'micha6_001', '2696', 'LWR1', '1', '1.877', '3', 'LWR_pic_2-02', '2020-08-12')
('7', 'micha6_001', '2696', 'LWR3.2', '1', '1.812', '4', 'LWR_pic_4-01', '2020-08-12')
('7', 'micha6_001', '2696', 'LWR11', '1', '3.891', '1', 'LWR_pic_12-01', '2020-08-12')
('7', 'micha6_001', '2696', 'LWR12.2', '1', '2.326', '4', 'LWR_pic_13-01', '2020-08-12')
('7', 'micha6_001', '2696', 'LWR8.2', '1', '2.667', '4', 'LWR_pic_9-01', '2020-08-12')
('7', 'micha6_001', '2696', 'LWR22', '1', '2.803', '2', 'LWR_pic_23-01', '2020-08-12')
('7', 'micha6_001', '2696', 'LWR10', '1', '1.067', '3', 'LWR_pic_11-01', '2020-08-12')
('7', 'micha6_001', '2696', 'LWR17', '0', '0.798', '4', 'LWR_pic_18-04', '2020-08-12')
('7', 'micha6_001', '2696', 'LWR19', '1', '1.717', '4', 'LWR_pic_20-01', '2020-08-12')
('7', 'micha6_001', '2696', 'LWR20', '1', '1.204', '4', 'LWR_pic_21-01', '2020-08-12')
('7', 'micha6_001', '2696', 'LWR7', '1', '0.858', '4', 'LWR_pic_8-01', '2020-08-12')
('7', 'micha6_001', '2696', 'LWR28', '0', '1.015', '4', 'LWR_pic_29-04', '2020-08-12')
('7', 'micha6_001', '2696', 'LWR24', '0', '0.846', '4', 'LWR_pic_25-04', '2020-08-12')
('7', 'micha6_001', '2696', 'LWR18', '0', '0.878', '4', 'LWR_pic_19-04', '2020-08-12')
('7', 'micha6_001', '2696', 'LWR14', '0', '1.016', '4', 'LWR_pic_15-04', '2020-08-12')
('7', 'micha6_001', '2696', 'LWR13', '0', '0.969', '4', 'LWR_pic_14-04', '2020-08-12')
